arch,corpus,embed_size,embedder,evaluation,job_name,neg_pos_ratio,num_epochs,num_vocab,param_name,regime,score,standardize,task
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1100.0,16384,param_4,expert,0.5590976882923192,1.0,nyms_syn_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1200.0,16384,param_4,expert,0.5590976882923192,1.0,nyms_syn_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1300.0,16384,param_4,expert,0.5590976882923192,1.0,nyms_syn_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1400.0,16384,param_4,expert,0.5592841163310962,1.0,nyms_syn_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1500.0,16384,param_4,expert,0.5592841163310962,1.0,nyms_syn_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1600.0,16384,param_4,expert,0.5590976882923192,1.0,nyms_syn_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1700.0,16384,param_4,expert,0.5589112602535421,1.0,nyms_syn_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1800.0,16384,param_4,expert,0.5589112602535421,1.0,nyms_syn_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1900.0,16384,param_4,expert,0.5589112602535421,1.0,nyms_syn_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,,,16384,param_4,novice,0.4869500372856078,,nyms_ant_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,0.0,16384,param_4,expert,0.488627889634601,1.0,nyms_ant_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,100.0,16384,param_4,expert,0.5590976882923192,1.0,nyms_ant_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,200.0,16384,param_4,expert,0.558351976137211,1.0,nyms_ant_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,300.0,16384,param_4,expert,0.5604026845637584,1.0,nyms_ant_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,400.0,16384,param_4,expert,0.5604026845637584,1.0,nyms_ant_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,500.0,16384,param_4,expert,0.5604026845637584,1.0,nyms_ant_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,600.0,16384,param_4,expert,0.5609619686800895,1.0,nyms_ant_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,700.0,16384,param_4,expert,0.5607755406413124,1.0,nyms_ant_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,800.0,16384,param_4,expert,0.5607755406413124,1.0,nyms_ant_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,900.0,16384,param_4,expert,0.5605891126025354,1.0,nyms_ant_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1000.0,16384,param_4,expert,0.5605891126025354,1.0,nyms_ant_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1100.0,16384,param_4,expert,0.5613348247576435,1.0,nyms_ant_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1200.0,16384,param_4,expert,0.5617076808351976,1.0,nyms_ant_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1300.0,16384,param_4,expert,0.5620805369127517,1.0,nyms_ant_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1400.0,16384,param_4,expert,0.5618941088739746,1.0,nyms_ant_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1500.0,16384,param_4,expert,0.5618941088739746,1.0,nyms_ant_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1600.0,16384,param_4,expert,0.5618941088739746,1.0,nyms_ant_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1700.0,16384,param_4,expert,0.5617076808351976,1.0,nyms_ant_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1800.0,16384,param_4,expert,0.5615212527964206,1.0,nyms_ant_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1900.0,16384,param_4,expert,0.5613348247576435,1.0,nyms_ant_jwshuffled
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,,,16384,param_4,novice,0.4860368389780155,,nyms_ant_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,0.0,16384,param_4,expert,0.4901960784313725,1.0,nyms_ant_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,100.0,16384,param_4,expert,0.6682511388393741,1.0,nyms_ant_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,200.0,16384,param_4,expert,0.6676569617746089,1.0,nyms_ant_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,300.0,16384,param_4,expert,0.6666666666666666,1.0,nyms_ant_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,400.0,16384,param_4,expert,0.6662705486234898,1.0,nyms_ant_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,500.0,16384,param_4,expert,0.6662705486234898,1.0,nyms_ant_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,600.0,16384,param_4,expert,0.6660724896019014,1.0,nyms_ant_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,700.0,16384,param_4,expert,0.6656763715587245,1.0,nyms_ant_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,800.0,16384,param_4,expert,0.6654783125371361,1.0,nyms_ant_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,900.0,16384,param_4,expert,0.6654783125371361,1.0,nyms_ant_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1000.0,16384,param_4,expert,0.6652802535155476,1.0,nyms_ant_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1100.0,16384,param_4,expert,0.6650821944939592,1.0,nyms_ant_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1200.0,16384,param_4,expert,0.6652802535155476,1.0,nyms_ant_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1300.0,16384,param_4,expert,0.6652802535155476,1.0,nyms_ant_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1400.0,16384,param_4,expert,0.6652802535155476,1.0,nyms_ant_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1500.0,16384,param_4,expert,0.6652802535155476,1.0,nyms_ant_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1600.0,16384,param_4,expert,0.6652802535155476,1.0,nyms_ant_jw
classifier,childes-20180319,200,srn,identification,pitts_2019-03-12-15-24-14_num1,1.0,1700.0,16384,param_4,expert,0.6650821944939592,1.0,nyms_ant_jw
